PAC,CID,CRPName,Distid,Total,,
American Medical Assn,N00025219,"Burgess, Michael",TX26,"$20,000",,
American Medical Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,Direct contributions data covers the 2020 election cycle (1/1/19-12/31/20). For questions about the data email info@crp.org
American Dental Assn,N00005736,"Babin, Brian",TX36,"$20,000",,
American Dental Assn,N00025219,"Burgess, Michael",TX26,"$20,000",,
American Dental Assn,N00035346,"Carter, Buddy",GA01,"$17,500",,
American Dental Assn,N00030771,"Gosar, Paul",AZ04,"$20,000",,
American Dental Assn,N00043298,"Hyde-Smith, Cindy",MSS1,"$17,500",,
American Dental Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
American Dental Assn,N00044027,"Murphy, Greg",NC03,"$10,500",,
American Dental Assn,N00007248,"Nunes, Devin",CA22,"$10,000",,
American Dental Assn,N00009660,"Scalise, Steve",LA01,"$20,000",,
American Dental Assn,N00033932,"Stewart, Chris",UT02,"$12,500",,
American Dental Assn,N00042164,"Van Drew, Jeff",NJ02,"$20,000",,
National Assn of Home Builders,N00044335,"Bishop, Dan",NC09,"$13,500",,
National Assn of Home Builders,N00026166,"Foxx, Virginia",NC05,"$16,500",,
National Assn of Home Builders,N00013323,"Graves, Sam",MO06,"$11,500",,
National Assn of Home Builders,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
National Assn of Home Builders,N00039106,"Johnson, Mike",LA04,"$15,500",,
National Assn of Home Builders,N00030026,"Luetkemeyer, Blaine",MO03,"$19,000",,
National Assn of Home Builders,N00044040,"Malliotakis, Nicole",NY11,"$10,000",,
National Assn of Home Builders,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
National Assn of Home Builders,N00034120,"Perry, Scott",PA10,"$10,000",,
National Assn of Home Builders,N00009660,"Scalise, Steve",LA01,"$10,000",,
National Assn of Home Builders,N00044434,"Tuberville, Tommy",ALS1,"$10,000",,
Carpenters & Joiners Union,N00035420,"Bost, Mike",IL12,"$10,000",,
Carpenters & Joiners Union,N00041594,"Burchett, Tim",TN02,"$10,000",,
Carpenters & Joiners Union,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
Carpenters & Joiners Union,N00013323,"Graves, Sam",MO06,"$10,000",,
Carpenters & Joiners Union,N00044575,"Jacobs, Chris",NY27,"$10,000",,
Carpenters & Joiners Union,N00032088,"Johnson, Bill",OH06,"$15,000",,
Carpenters & Joiners Union,N00043242,"Joyce, John",PA13,"$10,000",,
Carpenters & Joiners Union,N00031647,"Kelly, Mike",PA16,"$10,000",,
Carpenters & Joiners Union,N00037269,"Mast, Brian",FL18,"$10,000",,
Carpenters & Joiners Union,N00029416,"Meuser, Dan",PA09,"$10,000",,
Carpenters & Joiners Union,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
Carpenters & Joiners Union,N00035523,"Stefanik, Elise",NY21,"$10,000",,
Carpenters & Joiners Union,N00029404,"Zeldin, Lee",NY01,"$10,000",,
American Hotel & Lodging Assn,N00035346,"Carter, Buddy",GA01,"$10,000",,
American Hotel & Lodging Assn,N00003689,"Chabot, Steve",OH01,"$10,000",,
American Hotel & Lodging Assn,N00025726,"Cole, Tom",OK04,"$15,000",,
American Hotel & Lodging Assn,N00033085,"Cruz, Ted",TXS2,"$10,000",,
American Hotel & Lodging Assn,N00026166,"Foxx, Virginia",NC05,"$10,000",,
American Hotel & Lodging Assn,N00042237,"Gooden, Lance",TX05,"$15,000",,
American Hotel & Lodging Assn,N00039106,"Johnson, Mike",LA04,"$12,500",,
American Hotel & Lodging Assn,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
American Hotel & Lodging Assn,N00029662,"Posey, Bill",FL08,"$10,000",,
American Hotel & Lodging Assn,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
American Hotel & Lodging Assn,N00033832,"Rice, Tom",SC07,"$10,000",,
